date,regime,actual_y1y,q10,q50,q74,interval_width,actual_in_band
2024-02-23,Easing,4.199797124501635,3.5163521536750757,4.8316470123309685,5.280084629285136,1.7637324756100607,1
2024-02-26,Easing,4.222356750542971,3.517018168991397,4.83183991016537,5.279873652763797,1.7628554837724,1
2024-02-27,Easing,4.177692108792641,3.5171138280630525,4.83190660823368,5.279576495317354,1.7624626672543013,1
2024-02-28,Easing,4.155081149607771,3.5169670923127705,4.831924335878153,5.279203863740979,1.7622367714282086,1
2024-02-29,Easing,4.168505886034243,3.517476367168564,4.8321072290023075,5.279267402427106,1.761791035258542,1
2024-03-01,Easing,4.210153266300997,3.51780187129404,4.832259932474491,5.279419052771895,1.7616171814778552,1
2024-03-04,Easing,4.197344644025535,3.5186980827066474,4.832590438955091,5.280174496156122,1.7614764134494747,1
2024-03-05,Easing,4.222972423466717,3.5187398567599573,4.83261097493928,5.280476568197074,1.7617367114371163,1
2024-03-06,Easing,4.147064713282451,3.519563753424818,4.832819494163365,5.281359264474786,1.7617955110499683,1
2024-03-07,Easing,4.185053721672969,3.5199801775486743,4.832940603813718,5.282262672257922,1.7622824947092472,1
2024-03-08,Easing,4.224099691740631,3.520356582831545,4.833040299873717,5.283258755251762,1.7629021724202167,1
2024-03-11,Easing,4.184384500199272,3.5204738310147845,4.833073999950338,5.2841591791739475,1.763685348159163,1
2024-03-12,Easing,4.224884973857601,3.5203341161137987,4.832999578947803,5.284783683718807,1.7644495676050083,1
2024-03-13,Easing,4.235014796435895,3.5195488341200645,4.8327570086046325,5.284767886807892,1.765219052687827,1
2024-03-14,Easing,4.2396960329893645,3.518839903862422,4.832520230462132,5.284414211524616,1.7655743076621944,1
2024-03-15,Easing,4.19006477565394,3.517633370910941,4.832168836954878,5.283365472161059,1.7657321012501175,1
2024-03-18,Easing,4.1715783332562095,3.5169437479888623,4.8319267931754055,5.282212999749154,1.7652692517602917,1
2024-03-19,Easing,4.172811011545267,3.516478616723016,4.831758292792307,5.281044730426335,1.764566113703319,1
2024-03-20,Easing,4.261212523235641,3.5167119722014846,4.83178707827442,5.280341592369362,1.7636296201678778,1
2024-03-21,Easing,4.215575428401158,3.517211066825799,4.831952419275336,5.280125701253516,1.7629146344277165,1
2024-03-22,Easing,4.256032023831185,3.5174444223042682,4.832050535644244,5.279976508205981,1.7625320859017126,1
2024-03-25,Easing,4.2469367247180285,3.518098589937403,4.832270639269667,5.2802942016366154,1.7621956116992123,1
2024-03-26,Easing,4.175172694964978,3.5181680963454314,4.832345762357132,5.280441639471826,1.762273543126395,1
2024-03-27,Easing,4.152911385021229,3.5183470402418577,4.832419481274737,5.280644893058939,1.7622978528170816,1
2024-03-28,Easing,4.11785399963724,3.5187581987287424,4.8325528774113575,5.281074217993377,1.762316019264635,1
2024-04-01,Easing,4.159214741636929,3.518752318767457,4.832559547218189,5.281298885170843,1.762546566403386,1
2024-04-02,Easing,4.026853073463277,3.517525776395483,4.832273272088154,5.280610841939856,1.7630850655443728,1
2024-04-03,Easing,3.980535268629149,3.516886879109566,4.83210670243861,5.279825208903656,1.76293832979409,1
2024-04-04,Easing,4.056786219394064,3.516738826950041,4.832075810701709,5.279174727216402,1.762435900266361,1
2024-04-05,Easing,4.101835514903375,3.517082058719989,4.832199202128082,5.278914780271226,1.7618327215512366,1
2024-04-08,Easing,4.21640816071602,3.516528464753016,4.832069667458575,5.278162847311647,1.7616343825586305,1
2024-04-09,Easing,4.217738370754753,3.5160800080042476,4.831924686920617,5.277290331265412,1.7612103232611647,1
2024-04-10,Easing,4.280719478109908,3.516491868576062,4.8320275423628,5.2769570164450945,1.7604651478690325,1
2024-04-11,Easing,4.209414725547044,3.5147537695722733,4.831504664611496,5.275256742266887,1.7605029726946135,1
2024-04-12,Easing,4.193811687216676,3.51430425969611,4.831054452650404,5.273747610710757,1.7594433510146468,1
2024-04-15,Easing,4.1479809590475885,3.5146467893811284,4.831122203846109,5.273045525781178,1.75839873640005,1
2024-04-16,Easing,4.18602144043997,3.5137250396292075,4.829307489824379,5.2706387786425815,1.756913739013374,1
