date,cusip,purchase_price,face_value,maturity_date,days_to_maturity,tau_remaining,current_yield,purchase_yield_pct,rate_change_bps,implied_price,unrealised_pnl,modified_duration,dv01,year,month_number,month_short,period_label
2011-07-29,912797UE5,96.439575,100.0,2027-04-17,5741,15.718001368925394,0.013907333274373365,3.6253539569941333,-223.46206295567967,80.3646740821943,-16.074900917805707,15.718001368925394,0.12631720572371732,2011,7,Jul,2011-07
2011-08-01,912797UE5,96.439575,100.0,2027-04-17,5738,15.709787816563997,0.013746601734665919,3.6253539569941333,-225.06937835275411,80.57705967127438,-15.862515328725621,15.709787816563997,0.12658485103183367,2011,8,Aug,2011-08
2011-08-02,912797UE5,96.439575,100.0,2027-04-17,5737,15.707049965776864,0.01298291816468316,3.6253539569941333,-232.70621405258171,81.55248834104707,-14.887086658952938,15.707049965776864,0.12809490092062617,2011,8,Aug,2011-08
2011-08-03,912797UE5,96.439575,100.0,2027-04-17,5736,15.704312114989733,0.012807187866501566,3.6253539569941333,-234.46351703439765,81.78076836602492,-14.65880663397509,15.704312114989733,0.12843107114237343,2011,8,Aug,2011-08
2011-08-04,912797UE5,96.439575,100.0,2027-04-17,5735,15.7015742642026,0.011843172613982393,3.6253539569941333,-244.1036695595894,83.03097505955778,-13.40859994044223,15.7015742642026,0.13037170211268004,2011,8,Aug,2011-08
2011-08-05,912797UE5,96.439575,100.0,2027-04-17,5734,15.698836413415469,0.012413740472468106,3.6253539569941333,-238.39799097473227,82.29323499989307,-14.146340000106932,15.698836413415469,0.12919080341940778,2011,8,Aug,2011-08
2011-08-08,912797UE5,96.439575,100.0,2027-04-17,5731,15.690622861054072,0.011743851825400992,3.6253539569941333,-245.0968774454034,83.17125838650945,-13.268316613490555,15.690622861054072,0.13050088482220004,2011,8,Aug,2011-08
2011-08-09,912797UE5,96.439575,100.0,2027-04-17,5730,15.68788501026694,0.010701427695103736,3.6253539569941333,-255.52111874837593,84.54529437531525,-11.894280624684754,15.68788501026694,0.1326336856319114,2011,8,Aug,2011-08
2011-08-10,912797UE5,96.439575,100.0,2027-04-17,5729,15.685147159479808,0.010549669403135791,3.6253539569941333,-257.0387016680554,84.74926459824306,-11.690310401756946,15.685147159479808,0.13293046868811348,2011,8,Aug,2011-08
2011-08-11,912797UE5,96.439575,100.0,2027-04-17,5728,15.682409308692677,0.011451311189130078,3.6253539569941333,-248.02228380811252,83.56176314384095,-12.877811856159056,15.682409308692677,0.1310449772177744,2011,8,Aug,2011-08
2011-08-12,912797UE5,96.439575,100.0,2027-04-17,5727,15.679671457905544,0.011017267745950183,3.6253539569941333,-252.36271823991152,84.13503329554126,-12.304541704458742,15.679671457905544,0.13192096801740308,2011,8,Aug,2011-08
2011-08-15,912797UE5,96.439575,100.0,2027-04-17,5724,15.671457905544148,0.011230374996470956,3.6253539569941333,-250.23164573470376,83.86210451195862,-12.577470488041385,15.671457905544148,0.13142414407295036,2011,8,Aug,2011-08
2011-08-16,912797UE5,96.439575,100.0,2027-04-17,5723,15.668720054757015,0.010959760321117888,3.6253539569941333,-252.93779248823444,84.22103986364124,-12.218535136358767,15.668720054757015,0.13196358963439256,2011,8,Aug,2011-08
